duration,credit_amount,savings_status,employment,property_magnitude,age,own_telephone,class
24,1413,'<100','1<=X<4','life insurance',28,,good
39,8588,'100<=X<500','>=7',car,45,,good
12,759,'<100','4<=X<7','real estate',26,,bad
36,4686,'<100','1<=X<4','no known property',32,,good
15,2687,'<100','4<=X<7','life insurance',26,,good
12,585,'<100','1<=X<4','real estate',20,,good
24,2255,'no known savings','<1','life insurance',54,,good
6,609,'<100','4<=X<7','life insurance',37,,good
6,1361,'<100','<1','real estate',40,,good
36,7127,'<100','<1','life insurance',23,,bad
6,1203,'100<=X<500','>=7','life insurance',43,,good
6,700,'no known savings','>=7','no known property',36,,good
24,5507,'<100','>=7','no known property',44,,good
18,3190,'<100','1<=X<4','real estate',24,,bad
48,7119,'<100','1<=X<4','no known property',53,,bad
24,3488,'100<=X<500','4<=X<7',car,23,,good
18,1113,'<100','1<=X<4','real estate',26,,good
26,7966,'<100','<1',car,30,,good
15,1532,'100<=X<500','1<=X<4',car,31,,good
4,1503,'<100','4<=X<7','real estate',42,,good
36,2302,'<100','1<=X<4',car,31,,bad
6,662,'<100','<1','real estate',41,,good
36,2273,'<100','4<=X<7',car,32,,good
15,2631,'100<=X<500','1<=X<4',car,28,,bad
12,1503,'<100','1<=X<4','real estate',41,,good
24,1311,'100<=X<500','4<=X<7','life insurance',26,none,good
24,3105,'no known savings','<1',car,25,yes,good
21,2319,'<100','<1',car,33,yes,bad
6,1374,'no known savings',unemployed,'life insurance',75,none,good
18,3612,'<100','>=7','life insurance',37,none,good
48,7763,'<100','>=7','no known property',42,none,bad
18,3049,'<100','<1','life insurance',45,yes,good
12,,'<100','<1','real estate',23,yes,bad
24,2032,'<100','>=7','no known property',60,,good
30,,'no known savings','>=7','life insurance',31,,bad
18,2864,'<100','1<=X<4','real estate',34,,bad
12,1255,'<100','>=7','real estate',61,,good
24,1333,'<100',unemployed,'real estate',43,,bad
24,2022,'<100','1<=X<4',car,37,,good
24,1552,'<100','4<=X<7',car,32,,good
12,,'<100','1<=X<4','real estate',24,,bad
48,8858,'no known savings','4<=X<7','no known property',35,,good
12,996,'no known savings','4<=X<7','real estate',23,,good
6,1750,'500<=X<1000','>=7','life insurance',45,,good
48,6999,'<100','4<=X<7','real estate',34,,bad
12,1995,'100<=X<500','<1',car,27,,good
9,1199,'<100','4<=X<7','life insurance',67,,good
12,1331,'<100','<1',car,22,,bad
18,2278,'100<=X<500','<1',car,28,,bad
21,5003,'no known savings','1<=X<4','life insurance',29,,bad
24,3552,'<100','4<=X<7',car,27,,bad
18,1928,'<100','<1','real estate',31,,bad
24,2964,'no known savings','>=7','no known property',49,,good
24,1546,'<100','4<=X<7',car,24,,bad
6,683,'<100','<1','life insurance',29,,good
36,12389,'no known savings','1<=X<4','no known property',37,,bad
24,4712,'no known savings','1<=X<4','life insurance',37,,good
24,1553,'100<=X<500','4<=X<7','life insurance',23,,good
12,1372,'<100','4<=X<7',car,36,,bad
24,2578,'>=1000','>=7',car,34,,good
48,3979,'no known savings','4<=X<7',car,41,,good
48,6758,'<100','1<=X<4',car,31,,bad
24,3234,'<100','<1','real estate',23,,bad
30,5954,'<100','4<=X<7',car,38,,good
24,5433,'no known savings',unemployed,'life insurance',26,,good
15,806,'<100','1<=X<4','life insurance',22,,good
9,1082,'<100','>=7',car,27,,good
15,2788,'<100','4<=X<7',car,24,,good
12,2930,'<100','4<=X<7','real estate',27,,good
24,1927,'no known savings','1<=X<4',car,33,,good
36,2820,'<100','<1',car,27,,bad
24,937,'<100','<1',car,27,,good
18,1056,'<100','>=7','real estate',30,,bad
12,3124,'<100','<1','real estate',49,,good
9,1388,'<100','1<=X<4','real estate',26,,good
36,2384,'<100','<1','no known property',33,,bad
12,2133,'no known savings','>=7','no known property',52,,good
18,2039,'<100','1<=X<4','real estate',20,,bad
9,2799,'<100','1<=X<4','real estate',36,,good
12,1289,'<100','1<=X<4','life insurance',21,,good
18,1217,'<100','1<=X<4','real estate',47,,bad
12,2246,'<100','>=7','life insurance',60,,bad
12,385,'<100','4<=X<7','real estate',58,,good
24,1965,'no known savings','1<=X<4',car,42,,good
21,1572,'>=1000','>=7','real estate',36,,good
24,2718,'<100','1<=X<4','life insurance',20,,bad
24,1358,'no known savings','>=7',car,40,,bad
6,931,'100<=X<500','<1','life insurance',32,,bad
24,1442,'<100','4<=X<7',car,23,,bad
24,4241,'<100','1<=X<4','real estate',36,,bad
18,2775,'<100','4<=X<7','life insurance',31,,bad
24,3863,'<100','1<=X<4','no known property',32,,good
7,2329,'<100','<1','real estate',45,,good
9,918,'<100','1<=X<4','life insurance',30,,bad
24,1837,'<100','4<=X<7','no known property',34,,bad
36,3349,'<100','1<=X<4',car,28,,bad
10,1275,'<100','<1','life insurance',23,,good
24,2828,'500<=X<1000','1<=X<4','real estate',22,,good
24,4526,'<100','1<=X<4','real estate',74,,good
36,2671,'100<=X<500','1<=X<4','no known property',50,,bad
18,2051,'<100','<1','real estate',33,,good
15,1300,'no known savings','>=7','no known property',45,,good
12,741,'100<=X<500',unemployed,'life insurance',22,,bad
10,1240,'100<=X<500','>=7','no known property',48,,bad
21,3357,'>=1000','<1',car,29,,good
24,3632,'<100','1<=X<4',car,22,,good
18,1808,'<100','4<=X<7','real estate',22,,bad
48,12204,'no known savings','1<=X<4',car,48,,good
60,9157,'no known savings','1<=X<4','no known property',27,,good
6,3676,'<100','1<=X<4','real estate',37,,good
30,3441,'100<=X<500','1<=X<4',car,21,,bad
12,640,'<100','1<=X<4','real estate',49,,good
21,3652,'<100','4<=X<7','life insurance',27,,good
18,1530,'<100','1<=X<4','life insurance',32,,bad
48,3914,'no known savings','1<=X<4','real estate',38,,bad
12,1858,'<100','<1',car,22,,good
18,2600,'<100','1<=X<4','no known property',65,,bad
15,1979,'no known savings','>=7',car,35,,good
6,2116,'<100','1<=X<4','real estate',41,,good
9,1437,'100<=X<500','4<=X<7','no known property',29,,bad
42,4042,'500<=X<1000','1<=X<4','real estate',36,,good
9,3832,'no known savings','>=7','real estate',64,,good
24,3660,'<100','1<=X<4',car,28,,good
18,1553,'<100','1<=X<4',car,44,,bad
15,1444,'no known savings','<1','life insurance',23,,good
9,1980,'<100','<1',car,19,,bad
24,1355,'<100','<1',car,25,,bad
12,1393,'<100','>=7','life insurance',47,,good
24,1376,'500<=X<1000','4<=X<7',car,28,,good
60,15653,'<100','4<=X<7',car,21,,good
12,1493,'<100','<1',car,34,,good
42,4370,'<100','4<=X<7','life insurance',26,,bad
18,750,'<100',unemployed,'real estate',27,,bad
15,1308,'<100','>=7',car,38,,good
15,4623,'100<=X<500','1<=X<4','life insurance',40,,bad
24,1851,'<100','4<=X<7',car,33,,good
18,1880,'<100','4<=X<7','life insurance',32,,good
36,7980,'no known savings','<1',car,27,,bad
30,4583,'<100','1<=X<4','real estate',32,,good
12,1386,'500<=X<1000','1<=X<4','life insurance',26,,bad
24,947,'<100','4<=X<7','no known property',38,,bad
12,684,'<100','1<=X<4',car,40,,bad
48,7476,'<100','4<=X<7','no known property',50,yes,good
12,1922,'<100','1<=X<4','life insurance',37,none,bad
24,2303,'<100','>=7','real estate',45,none,bad
36,8086,'100<=X<500','>=7',car,42,yes,bad
24,2346,'<100','4<=X<7',car,35,yes,good
14,3973,'<100',unemployed,'no known property',22,none,good
12,888,'<100','>=7',car,41,none,bad
48,10222,'no known savings','4<=X<7',car,37,yes,good
30,4221,'<100','1<=X<4',car,28,none,good
18,6361,'<100','>=7','no known property',41,yes,good
12,,'<100','1<=X<4','real estate',23,none,good
12,,'no known savings','1<=X<4',car,23,none,bad
21,,'<100','>=7','real estate',50,none,good
6,,'<100',unemployed,'life insurance',35,yes,good
6,1047,'<100','1<=X<4','life insurance',50,none,good
24,6314,'<100',unemployed,'no known property',27,yes,good
30,3496,'>=1000','1<=X<4',car,34,yes,good
48,3609,'<100','1<=X<4','real estate',27,none,good
12,4843,'<100','>=7','life insurance',43,yes,bad
30,3017,'<100','>=7','life insurance',47,none,good
24,4139,'100<=X<500','1<=X<4','life insurance',27,yes,good
36,5742,'100<=X<500','4<=X<7',car,31,yes,good
60,10366,'<100','>=7','life insurance',42,yes,good
6,2080,'500<=X<1000','1<=X<4',car,24,none,good
21,2580,'500<=X<1000','<1','real estate',41,none,bad
30,4530,'<100','4<=X<7',car,26,yes,good
24,5150,'<100','>=7',car,33,yes,good
72,5595,'100<=X<500','1<=X<4',car,24,none,bad
24,2384,'<100','>=7','real estate',64,none,good
18,1453,'<100','<1','real estate',26,none,good
6,1538,'<100','<1','no known property',56,none,good
12,2279,'no known savings','1<=X<4','no known property',37,yes,good
15,1478,'<100','1<=X<4','real estate',33,none,good
24,5103,'<100','<1','no known property',47,yes,good
36,9857,'100<=X<500','4<=X<7','life insurance',31,yes,good
60,6527,'no known savings','1<=X<4','no known property',34,yes,good
10,1347,'no known savings','4<=X<7','life insurance',27,yes,good
36,2862,'100<=X<500','>=7','no known property',30,none,good
9,2753,'100<=X<500','>=7',car,35,yes,good
12,3651,'>=1000','1<=X<4','life insurance',31,none,good
15,975,'<100','1<=X<4','life insurance',25,none,good
15,2631,'100<=X<500','1<=X<4','real estate',25,none,good
24,2896,'100<=X<500','<1',car,29,none,good
6,4716,'no known savings','<1','real estate',44,none,good
24,2284,'<100','4<=X<7',car,28,yes,good
6,1236,'500<=X<1000','1<=X<4','life insurance',50,none,good
12,1103,'<100','4<=X<7','real estate',29,none,good
12,926,'<100',unemployed,'life insurance',38,none,good
18,1800,'<100','1<=X<4',car,24,none,good
15,1905,'<100','>=7',car,40,yes,good
12,1123,'500<=X<1000','1<=X<4',car,29,none,bad
48,6331,'<100','>=7','no known property',46,yes,bad
24,1377,'100<=X<500','>=7','no known property',47,yes,good
30,2503,'100<=X<500','>=7','life insurance',41,none,good
27,2528,'<100','<1','life insurance',32,yes,good
15,5324,'500<=X<1000','>=7','no known property',35,none,good
48,6560,'100<=X<500','4<=X<7','life insurance',24,none,bad
12,2969,'<100','<1','life insurance',25,none,bad
9,1206,'<100','>=7','real estate',25,none,good
9,2118,'<100','1<=X<4','real estate',37,none,good
18,629,'500<=X<1000','>=7','life insurance',32,yes,good
6,1198,'<100','>=7','no known property',35,none,bad
21,2476,'no known savings','>=7','real estate',46,yes,good
9,1138,'<100','1<=X<4','real estate',25,none,good
60,14027,'<100','4<=X<7','no known property',27,yes,bad
30,7596,'no known savings','>=7',car,63,none,good
30,3077,'no known savings','>=7',car,40,yes,good
18,1505,'<100','1<=X<4','no known property',32,yes,good
24,3148,'no known savings','1<=X<4',car,31,yes,good
20,6148,'100<=X<500','>=7',car,31,yes,good
9,1337,'<100','<1',car,34,yes,bad
6,433,'>=1000','<1','life insurance',24,none,bad
12,1228,'<100','1<=X<4','real estate',24,none,bad
9,790,'500<=X<1000','1<=X<4','real estate',66,none,good
27,2570,'<100','1<=X<4','real estate',21,none,bad
6,250,'>=1000','1<=X<4','real estate',41,none,good
15,1316,'500<=X<1000','1<=X<4','life insurance',47,none,good
18,1882,'<100','1<=X<4',car,25,none,bad
48,6416,'<100','>=7','no known property',59,none,bad
24,1275,'>=1000','1<=X<4','real estate',36,yes,good
24,6403,'<100','<1',car,33,none,good
24,1987,'<100','1<=X<4','real estate',21,none,bad
8,760,'<100','4<=X<7','real estate',44,none,good
24,2603,'>=1000','1<=X<4',car,28,yes,good
4,3380,'<100','4<=X<7','real estate',37,none,good
36,3990,'no known savings','<1','no known property',29,none,good
24,11560,'<100','1<=X<4',car,23,none,bad
18,4380,'100<=X<500','1<=X<4',car,35,yes,good
6,6761,'<100','4<=X<7','no known property',45,yes,good
30,4280,'100<=X<500','1<=X<4',car,26,none,bad
24,2325,'100<=X<500','4<=X<7',car,32,none,good
10,1048,'<100','1<=X<4','real estate',23,none,good
21,3160,'no known savings','>=7','life insurance',41,yes,good
24,2483,'500<=X<1000','1<=X<4','real estate',22,,good
39,14179,'no known savings','4<=X<7','life insurance',30,,good
13,1797,'<100','<1','life insurance',28,,good
15,2511,'<100',unemployed,car,23,,good
12,1274,'<100','<1','real estate',37,none,bad
21,5248,'no known savings','1<=X<4',car,26,none,good
15,3029,'<100','4<=X<7',car,33,none,good
6,428,'<100','>=7','life insurance',49,yes,good
18,976,'<100','<1',car,23,none,bad
12,841,'100<=X<500','4<=X<7','real estate',23,none,good
30,5771,'<100','4<=X<7',car,25,none,good
12,,'>=1000','>=7','no known property',55,none,bad
24,,'no known savings','4<=X<7','no known property',32,none,bad
6,,'<100','1<=X<4','real estate',74,none,good
15,,'no known savings','1<=X<4','no known property',39,yes,bad
24,1393,'<100','1<=X<4','real estate',31,yes,good
12,691,'<100','>=7','life insurance',35,none,bad
15,5045,'no known savings','>=7',car,59,yes,good
18,2124,'<100','1<=X<4','real estate',24,none,bad
12,2214,'<100','1<=X<4','life insurance',24,none,good
21,12680,'no known savings','>=7','no known property',30,yes,bad
24,2463,'100<=X<500','4<=X<7','life insurance',27,yes,good
12,1155,'<100','>=7','real estate',40,none,good
30,3108,'<100','<1','life insurance',31,none,bad
10,2901,'no known savings','<1','real estate',31,none,good
12,3617,'<100','>=7',car,28,yes,good
12,1655,'<100','>=7','real estate',63,yes,good
24,2812,'no known savings','>=7','real estate',26,none,good
36,8065,'<100','1<=X<4','no known property',25,yes,bad
21,3275,'<100','>=7',car,36,yes,good
24,2223,'100<=X<500','>=7','life insurance',52,none,good
12,1480,'500<=X<1000',unemployed,'no known property',66,none,good
24,1371,'no known savings','1<=X<4','real estate',25,none,bad
36,3535,'<100','4<=X<7',car,37,yes,good
18,3509,'<100','4<=X<7','real estate',25,none,good
36,5711,'>=1000','>=7',car,38,yes,good
18,3872,'<100',unemployed,car,67,yes,good
39,4933,'<100','4<=X<7','real estate',25,none,bad
24,1940,'>=1000','>=7','real estate',60,yes,good
12,1410,'<100','1<=X<4','real estate',31,yes,good
12,836,'100<=X<500','<1','life insurance',23,none,bad
20,6468,'no known savings',unemployed,'real estate',60,yes,good
18,1941,'>=1000','1<=X<4','life insurance',35,yes,good
22,2675,'500<=X<1000','>=7',car,40,none,good
48,2751,'no known savings','>=7',car,38,yes,good
48,6224,'<100','>=7','no known property',50,none,bad
40,5998,'<100','1<=X<4','no known property',27,yes,bad
21,1188,'<100','>=7','life insurance',39,none,bad
24,6313,'no known savings','>=7',car,41,yes,good
6,1221,'no known savings','1<=X<4','life insurance',27,,good
24,2892,'<100','>=7','no known property',51,,good
24,3062,'500<=X<1000','>=7','no known property',32,yes,good
9,2301,'100<=X<500','<1','life insurance',22,none,good
18,7511,'no known savings','>=7','life insurance',51,yes,bad
12,1258,'<100','<1','life insurance',22,none,good
24,717,'no known savings','>=7',car,54,yes,good
9,1549,'no known savings','<1','real estate',35,none,good
24,1597,'<100','>=7','no known property',54,none,good
18,1795,'<100','>=7','real estate',48,yes,good
20,4272,'<100','>=7','life insurance',24,none,good
12,976,'no known savings','>=7',car,35,none,good
12,7472,'no known savings',unemployed,'real estate',24,none,good
36,9271,'<100','4<=X<7',car,24,yes,bad
6,590,'<100','<1','real estate',26,none,good
12,930,'no known savings','>=7','real estate',65,none,good
42,9283,'<100',unemployed,'no known property',55,yes,good
15,1778,'<100','<1','real estate',26,none,bad
8,907,'<100','<1','real estate',26,yes,good
6,484,'<100','4<=X<7','real estate',28,none,good
36,9629,'<100','4<=X<7',car,24,yes,bad
48,3051,'<100','1<=X<4',car,54,none,bad
48,3931,'<100','4<=X<7','no known property',46,none,bad
36,7432,'<100','1<=X<4','life insurance',54,,good
6,1338,'500<=X<1000','1<=X<4','real estate',62,,good
6,1554,'<100','4<=X<7',car,24,,good
36,15857,'<100',unemployed,car,43,,good
18,1345,'<100','1<=X<4','real estate',26,none,bad
12,1101,'<100','1<=X<4','real estate',27,yes,good
12,3016,'<100','1<=X<4',car,24,none,good
36,2712,'<100','>=7','life insurance',41,none,bad
8,731,'<100','>=7','real estate',47,none,good
18,3780,'<100','<1',car,35,yes,good
21,1602,'<100','>=7',car,30,yes,good
18,3966,'<100','>=7','real estate',33,yes,bad
18,4165,'<100','1<=X<4',car,36,none,bad
36,8335,'no known savings','>=7','no known property',47,none,bad
48,6681,'no known savings','1<=X<4','no known property',38,yes,good
24,2375,'500<=X<1000','1<=X<4',car,44,yes,good
18,1216,'<100','<1',car,23,yes,bad
45,11816,'<100','>=7',car,29,none,bad
24,5084,'no known savings','>=7',car,42,yes,good
15,2327,'<100','<1','real estate',25,none,bad
12,1082,'<100','1<=X<4',car,48,none,bad
12,886,'no known savings','1<=X<4',car,21,none,good
4,601,'<100','<1','real estate',23,none,good
24,2957,'<100','>=7','life insurance',63,yes,good
24,2611,'<100','>=7','real estate',46,none,good
36,5179,'<100','4<=X<7','life insurance',29,none,bad
21,2993,'<100','1<=X<4','real estate',28,none,good
18,1943,'<100','<1','real estate',23,none,bad
24,1559,'<100','4<=X<7',car,50,yes,good
18,3422,'<100','>=7','life insurance',47,yes,good
21,3976,'no known savings','4<=X<7',car,35,yes,good
18,6761,'no known savings','1<=X<4',car,68,,bad
24,1249,'<100','<1','real estate',28,,good
9,1364,'<100','4<=X<7','real estate',59,,good
12,709,'<100','>=7','real estate',57,,bad
20,2235,'<100','1<=X<4','life insurance',33,,bad
24,4042,'no known savings','4<=X<7','life insurance',43,,good
15,1471,'<100','1<=X<4','no known property',35,,good
18,1442,'<100','4<=X<7','no known property',32,,bad
36,10875,'<100','>=7',car,45,,good
24,1474,'100<=X<500','<1','real estate',33,,good
10,894,'no known savings','4<=X<7','life insurance',40,,good
15,3343,'<100','1<=X<4','no known property',28,,good
15,3959,'<100','1<=X<4','life insurance',29,,bad
9,3577,'100<=X<500','1<=X<4','real estate',26,,good
24,5804,'>=1000','1<=X<4','real estate',27,,good
18,2169,'<100','1<=X<4',car,28,,bad
24,2439,'<100','<1','real estate',35,,bad
27,4526,'>=1000','<1','real estate',32,,good
10,2210,'<100','1<=X<4','real estate',25,,bad
15,2221,'500<=X<1000','1<=X<4',car,20,,good
18,2389,'<100','<1',car,27,,good
12,3331,'<100','>=7','life insurance',42,,good
36,7409,'no known savings','>=7','life insurance',37,,good
12,652,'<100','>=7','life insurance',24,,good
36,7678,'500<=X<1000','4<=X<7',car,40,,good
6,1343,'<100','>=7','real estate',46,,good
24,1382,'100<=X<500','4<=X<7','real estate',26,,good
15,874,'no known savings','<1','real estate',24,,good
12,3590,'<100','1<=X<4','life insurance',29,,good
11,1322,'>=1000','1<=X<4',car,40,,good
18,1940,'<100','<1','no known property',36,,good
36,3595,'<100','>=7',car,28,,good
9,1422,'<100','<1','no known property',27,,bad
30,6742,'no known savings','4<=X<7','life insurance',36,,good
24,7814,'<100','4<=X<7',car,38,,good
24,9277,'no known savings','1<=X<4','no known property',48,,good
30,,'no known savings','>=7','real estate',36,,good
18,,'<100',unemployed,car,65,,good
24,4057,'<100','4<=X<7',car,43,,bad
12,795,'<100','<1','life insurance',53,,bad
24,2825,'no known savings','4<=X<7','no known property',34,,good
48,15672,'<100','1<=X<4',car,23,,bad
36,6614,'<100','>=7',car,34,,good
28,7824,'no known savings','<1','real estate',40,,good
27,2442,'<100','>=7',car,43,,good
15,1829,'<100','>=7',car,46,,good
12,2171,'<100','1<=X<4','life insurance',38,,good
36,5800,'<100','1<=X<4',car,34,,good
18,1169,'no known savings','1<=X<4','life insurance',29,,good
36,8947,'no known savings','4<=X<7',car,31,,good
21,2606,'<100','<1','life insurance',28,none,good
12,1592,'>=1000','4<=X<7','life insurance',35,yes,good
15,2186,'no known savings','4<=X<7','real estate',33,,good
18,4153,'<100','1<=X<4',car,42,,bad
16,2625,'<100','>=7','life insurance',43,,bad
20,3485,'no known savings','<1','real estate',44,,good
36,10477,'no known savings','>=7','no known property',42,,good
15,1386,'no known savings','1<=X<4','real estate',40,,good
24,1278,'<100','>=7','real estate',36,,good
12,1107,'<100','1<=X<4','real estate',20,,good
21,3763,'no known savings','4<=X<7','real estate',24,,good
36,3711,'no known savings','1<=X<4',car,27,,good
15,3594,'<100','<1','life insurance',46,,good
9,3195,'no known savings','1<=X<4','real estate',33,,good
36,4454,'<100','1<=X<4','real estate',34,,good
24,4736,'<100','<1',car,25,,bad
30,2991,'no known savings','>=7',car,25,,good
11,2142,'>=1000','>=7','real estate',28,,good
24,3161,'<100','1<=X<4','life insurance',31,,bad
48,18424,'<100','1<=X<4','life insurance',32,,bad
10,2848,'100<=X<500','1<=X<4','real estate',32,,good
6,14896,'<100','>=7','no known property',68,,bad
24,2359,'100<=X<500',unemployed,'life insurance',33,,bad
24,3345,'<100','>=7','life insurance',39,,bad
18,1817,'<100','1<=X<4','no known property',28,,good
48,12749,'500<=X<1000','4<=X<7',car,37,,good
9,1366,'<100','<1','life insurance',22,,bad
12,2002,'<100','4<=X<7','life insurance',30,,good
24,6872,'<100','<1','life insurance',55,,bad
12,697,'<100','<1',car,46,,bad
18,1049,'<100','<1','life insurance',21,,good
48,10297,'<100','4<=X<7','no known property',39,,bad
30,1867,'no known savings','>=7',car,58,,good
12,1344,'<100','1<=X<4','real estate',43,,good
24,1747,'<100','<1','life insurance',24,,good
9,1670,'<100','<1',car,22,,bad
9,1224,'<100','1<=X<4','real estate',30,,good
12,522,'500<=X<1000','>=7','life insurance',42,,good
12,1498,'<100','1<=X<4',car,23,,good
30,1919,'100<=X<500','<1','no known property',30,,bad
9,745,'<100','1<=X<4','real estate',28,,bad
6,2063,'<100','<1',car,30,,good
60,6288,'<100','1<=X<4','no known property',42,,bad
24,6842,'no known savings','1<=X<4','life insurance',46,,good
12,3527,'no known savings','<1','life insurance',45,,good
10,1546,'<100','1<=X<4','real estate',31,,good
24,929,'no known savings','4<=X<7',car,31,,good
4,1455,'<100','4<=X<7','real estate',42,,good
15,1845,'<100','<1','life insurance',46,,good
48,8358,'500<=X<1000','<1',car,30,,good
24,3349,'500<=X<1000','<1','no known property',30,,bad
12,2859,'no known savings',unemployed,'no known property',38,,good
18,1533,'<100','<1','life insurance',43,,bad
24,3621,'100<=X<500','>=7',car,31,,bad
18,3590,'<100',unemployed,car,40,,good
36,2145,'<100','4<=X<7',car,24,,bad
24,4113,'500<=X<1000','<1',car,28,,bad
36,10974,'<100',unemployed,car,26,,bad
12,1893,'<100','1<=X<4','life insurance',29,,good
24,1231,'>=1000','>=7','life insurance',57,,good
30,3656,'no known savings','>=7','life insurance',49,,good
9,1154,'<100','>=7','real estate',37,,good
28,4006,'<100','1<=X<4',car,45,,bad
24,3069,'100<=X<500','>=7','no known property',30,,good
6,1740,'<100','>=7','real estate',30,,good
21,,'<100','1<=X<4','life insurance',47,,good
15,,'no known savings','1<=X<4','no known property',29,,good
24,,'500<=X<1000','>=7',car,35,,bad
6,,'<100','<1','life insurance',22,,good
30,,'no known savings','1<=X<4',car,26,,good
27,2520,'500<=X<1000','1<=X<4','life insurance',23,yes,bad
15,3568,'<100','>=7',car,54,yes,good
42,7166,'no known savings','4<=X<7','life insurance',29,yes,good
11,3939,'<100','1<=X<4','real estate',40,yes,good
15,1514,'100<=X<500','1<=X<4','real estate',22,,good
24,7393,'<100','1<=X<4','life insurance',43,,good
24,1193,'<100',unemployed,'no known property',29,,bad
60,7297,'<100','>=7','no known property',36,,bad
30,2831,'<100','1<=X<4',car,33,,good
24,1258,'500<=X<1000','1<=X<4',car,57,,good
6,753,'<100','1<=X<4','real estate',64,,good
18,2427,'no known savings','>=7','life insurance',42,,good
24,2538,'<100','>=7',car,47,,bad
15,1264,'100<=X<500','1<=X<4','life insurance',25,,bad
30,8386,'<100','4<=X<7','life insurance',49,,bad
48,4844,'<100',unemployed,car,33,,bad
21,2923,'100<=X<500','1<=X<4',car,28,,good
36,8229,'<100','1<=X<4','life insurance',26,,bad
24,2028,'<100','4<=X<7','life insurance',30,,good
15,1433,'<100','1<=X<4','life insurance',25,,good
42,6289,'<100','<1','life insurance',33,,good
13,1409,'100<=X<500',unemployed,'real estate',64,none,good
24,6579,'<100',unemployed,'no known property',29,none,good
24,1743,'<100','>=7','life insurance',48,none,good
12,3565,'no known savings','<1','life insurance',37,none,good
15,1569,'100<=X<500','>=7',car,34,,good
18,1936,'no known savings','4<=X<7',car,23,,good
36,3959,'<100',unemployed,'life insurance',30,,good
12,2390,'no known savings','>=7',car,50,,good
12,1736,'<100','4<=X<7','real estate',31,,good
30,3857,'<100','1<=X<4','life insurance',40,,good
12,804,'<100','>=7',car,38,none,good
45,,'<100','1<=X<4','no known property',23,yes,bad
45,4576,'100<=X<500',unemployed,car,27,none,good